id,name,composer,effector,date,lv,lv_number,radar,s_tier,bpm,search_name,nickname
180061,tricky trick,kamome sano,,2015-03-11,EXH,18,,9,,,
180062,KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX-,FLOOR LEGENDS -KAC 2012-,,2015-03-22,GRV,18,,4,,,캌메들리
180063,Sayonara Planet Wars,黒魔,,2015-04-01,EXH,18,,3,,,
180064,混乱少女♥そふらんちゃん!!,かめりあ feat. ななひら,,2015-04-01,EXH,18,,2,,こんらんしょうじょ　そふらんちゃん,혼란소녀소후란짱
180065,到達してしまった僕らと夢と希望の最之果,Ayatsugu_Otowa,,2015-04-01,EXH,18,,6,,とうたつしてしまったぼくらとゆめときぼうのさいのはて,
180066,Chant du Cygne,ke-ji,,2015-04-01,XCD,18,,3,,,샹두시네
180067,HAVOX,BlackY vs. Yooh,,2015-04-30,EXH,18,,3,,,
180068,Pon-Pon-Pompoko Dai-Sen-Saw!,黒魔,,2015-06-24,EXH,18,,6,,,
180069,"gigadelic (かめりあ's ""The TERA"" RMX)",かめりあ,,2015-07-01,EXH,18,,3,,,
180070,INF-B《L-aste-R》,かねこちはる,,2015-07-16,EXH,18,,2,,,infblaster / 인피비
180071,Opium and Purple haze,D.watt(OTAKU-ELITE Recordings),,2015-07-30,GRV,18,,10,,,
180072,灼熱Beach Side Bunny,DJ Mass MAD Izm*,,2015-08-07,EXH,18,,3,,しゃくねつ,작열
180073,UnivEarth,Antinomic Paradox,,2015-08-13,EXH,18,,4,,,
180074,Ops:Code-Rapture-,Getty vs. DJ DiA,,2015-08-13,EXH,18,,6,,,
180075,Le Fruit Défendu,モリモリあつし+Verdammt,,2015-08-13,XCD,18,,7,,,lefruitdefendu
180076,veRtrageS,Riz vs. Shiron,,2015-08-21,EXH,18,,4,,,
180077,ΑΩ,BlackY,,2015-08-21,EXH,18,,7,,,알옴 / 알파오메가
180078,Blastix Riotz,"かめりあ as ""Bang Riot""",,2015-08-21,EXH,18,,3,,,
180079,Preserved Valkyria,ぺのれり,,2015-08-21,EXH,18,,5,,,
180080,XyHATTE,cosMo＠暴走Ultimate,,2015-08-21,EXH,18,,6,,,사이하테
180081,消失,cosMo＠暴走P,,2015-08-28,EXH,18,,3,,しょうしつ,소실
180082,Warriors Aboot,RoughSketch vs MAD CHILD,,2015-09-17,EXH,18,,5,,,
180083,Firestorm,ETIA.,,2015-09-17,EXH,18,TSUMAMI,5,177,,
180084,ちくわパフェだよ☆ＣＫＰ,日向美ビタースイーツ♪,,2015-10-01,XCD,18,,2,,ちくわぱふぃだよ,치쿠와
180085,FLOWER,DJ YOSHITAKA 「jubeat」より,,2015-10-08,EXH,18,,9,,,
